epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,805.945,0.55507,0.47939,0.95904,0.98796,1,0.99471,0.82031,0.7111,0.41099,1.05439,0.000742625,0.000742625,0.000742625
43,827.971,0.55359,0.46444,0.9475,0.97918,0.99444,0.98446,0.82137,0.67661,0.41268,1.05575,0.00073025,0.00073025,0.00073025
44,850.001,0.54849,0.49033,0.94894,0.98257,0.99444,0.98678,0.83438,0.67158,0.39364,1.06396,0.000717875,0.000717875,0.000717875
45,872.052,0.54572,0.47623,0.96852,0.98289,0.99444,0.99132,0.85051,0.67918,0.3883,1.07829,0.0007055,0.0007055,0.0007055
46,893.752,0.55994,0.46477,0.97536,0.97978,0.99444,0.98952,0.82689,0.68365,0.41784,1.06002,0.000693125,0.000693125,0.000693125
47,915.82,0.55651,0.4785,0.95591,0.9824,0.99444,0.99072,0.82185,0.67932,0.40428,1.06679,0.00068075,0.00068075,0.00068075
48,936.454,0.52367,0.44075,0.94546,0.98276,0.99444,0.9925,0.8444,0.66632,0.38659,1.06467,0.000668375,0.000668375,0.000668375
49,954.207,0.55231,0.46127,0.95515,0.98757,1,0.99471,0.84701,0.69183,0.36825,1.05755,0.000656,0.000656,0.000656
50,972.094,0.54071,0.43614,0.95853,0.9828,0.99444,0.99128,0.84257,0.67276,0.3994,1.04621,0.000643625,0.000643625,0.000643625
51,990.105,0.53575,0.43228,0.93972,0.98085,0.99444,0.99182,0.85998,0.63982,0.3484,1.06189,0.00063125,0.00063125,0.00063125
52,1007.97,0.51534,0.4228,0.94098,0.98637,1,0.99441,0.85976,0.67223,0.35067,1.07349,0.000618875,0.000618875,0.000618875
53,1027.09,0.53676,0.44294,0.95923,0.98765,1,0.99353,0.85748,0.68388,0.38442,1.06585,0.0006065,0.0006065,0.0006065
54,1046.19,0.52824,0.43405,0.94882,0.98186,0.99444,0.99112,0.85194,0.66906,0.3671,1.05463,0.000594125,0.000594125,0.000594125
55,1064.18,0.51977,0.42849,0.94185,0.98712,1,0.99382,0.84495,0.64829,0.38578,1.03188,0.00058175,0.00058175,0.00058175
56,1082.82,0.53099,0.43216,0.94428,0.98678,1,0.99206,0.82342,0.65752,0.39051,1.04854,0.000569375,0.000569375,0.000569375
57,1101.81,0.50987,0.41077,0.93485,0.98778,1,0.99088,0.8524,0.63231,0.35883,1.01757,0.000557,0.000557,0.000557
58,1119.69,0.51875,0.42594,0.94473,0.9867,1,0.99235,0.85644,0.64793,0.35886,1.02853,0.000544625,0.000544625,0.000544625
59,1137.97,0.49594,0.41459,0.93073,0.98092,1,0.99356,0.84592,0.65885,0.361,1.03531,0.00053225,0.00053225,0.00053225
60,1158.94,0.46982,0.40218,0.92816,0.97718,1,0.99235,0.85997,0.65975,0.34673,1.04457,0.000519875,0.000519875,0.000519875
61,1181.35,0.50792,0.41326,0.93759,0.98773,1,0.99382,0.8341,0.6315,0.36611,1.01854,0.0005075,0.0005075,0.0005075
62,1203.53,0.50555,0.40189,0.93264,0.98734,1,0.995,0.85381,0.65184,0.34503,1.07519,0.000495125,0.000495125,0.000495125
63,1224.5,0.48624,0.40057,0.93177,0.98187,0.99444,0.99164,0.86042,0.66628,0.34788,1.10087,0.00048275,0.00048275,0.00048275
64,1245.21,0.47259,0.38389,0.9242,0.98816,1,0.99353,0.85231,0.65263,0.35859,1.09364,0.000470375,0.000470375,0.000470375
65,1268.7,0.48607,0.38972,0.92889,0.98864,1,0.98794,0.85213,0.63377,0.33923,1.0548,0.000458,0.000458,0.000458
66,1289.58,0.48459,0.3777,0.93236,0.98827,1,0.98971,0.8624,0.63699,0.34312,1.07179,0.000445625,0.000445625,0.000445625
67,1307.98,0.46795,0.37961,0.92084,0.98718,1,0.98941,0.86794,0.60376,0.33149,1.0438,0.00043325,0.00043325,0.00043325
68,1334.72,0.48468,0.3823,0.93316,0.98776,1,0.99265,0.84101,0.64316,0.34621,1.04765,0.000420875,0.000420875,0.000420875
69,1357.2,0.48045,0.38662,0.92866,0.98755,1,0.99324,0.8559,0.62926,0.339,1.05453,0.0004085,0.0004085,0.0004085
70,1377.84,0.49497,0.39323,0.92916,0.98832,1,0.99324,0.85821,0.63467,0.34366,1.06821,0.000396125,0.000396125,0.000396125
